Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,250,Compacto,2024,0,Híbrido,Córdoba,45900
MERCEDES-BENZ Clase A,250,Sedán,2024,13563,Híbrido,Madrid,37990
MERCEDES-BENZ Clase A,180,,2020,69026,Gasolina,Alicante,25990
MERCEDES-BENZ Clase A,250,,2023,8056,Híbrido,Madrid,36990
MERCEDES-BENZ Clase A,200,,2023,14223,Diésel,Lugo,36500
MERCEDES-BENZ Clase A,250,,2021,53987,Híbrido,Madrid,31990
MERCEDES-BENZ Clase A,180,,2019,69024,Diésel,Madrid,23990
MERCEDES-BENZ Clase A,200,Compacto,2023,24169,Diésel,Asturias,39900
MERCEDES-BENZ Clase A,200,,2019,53000,Diésel,Valencia,26990
MERCEDES-BENZ Clase A,250,Compacto,2024,16,Híbrido,Córdoba,46900
MERCEDES-BENZ Clase A,180,,2022,14900,Gasolina,Burgos,32900
MERCEDES-BENZ Clase A,200,,2023,13458,Diésel,Salamanca,38900
MERCEDES-BENZ Clase A,180,Compacto,2023,9999,Gasolina,Córdoba,38400
MERCEDES-BENZ Clase A,180,Compacto,2024,11346,Diésel,La Coruña,38600
MERCEDES-BENZ Clase A,180,,2023,7600,Diésel,Burgos,39500
MERCEDES-BENZ Clase A,250,Compacto,2024,11719,Híbrido,La Coruña,46800
MERCEDES-BENZ Clase A,180,Compacto,2022,31434,Diésel,Córdoba,33900
MERCEDES-BENZ Clase A,200,,2022,17000,Diésel,Zamora,39900
MERCEDES-BENZ Clase A,180,Sedán,2023,20274,Diésel,La Coruña,35900
MERCEDES-BENZ Clase A,200,Sedán,2023,5756,Diésel,Córdoba,38900
MERCEDES-BENZ Clase A,250,Compacto,2024,0,Híbrido,Córdoba,46500
MERCEDES-BENZ Clase A,180,,2023,20969,Diésel,La Coruña,33900
MERCEDES-BENZ Clase A,200,,2023,15000,Diésel,Málaga,31990
MERCEDES-BENZ Clase A,180,,2023,28950,Diésel,La Coruña,33900
MERCEDES-BENZ Clase A,250,,2018,41500,Gasolina,Barcelona,27900
MERCEDES-BENZ Clase A,180,Compacto,2023,13900,Diésel,Alicante,33900
